dteday,season,year,month,hr,holiday,one_of_week,workingday,weather_situation,temp,atemp,humidity,casual,registered,count_cr
2011-01-01,Spring,2011,Jan,0,0,Saturday,0,Clear,0.24,0.2879,0.81,3,13,16
2011-01-01,Spring,2011,Jan,1,0,Saturday,0,Clear,0.22,0.2727,0.8,8,32,40
2011-01-01,Spring,2011,Jan,2,0,Saturday,0,Clear,0.22,0.2727,0.8,5,27,32
2011-01-01,Spring,2011,Jan,3,0,Saturday,0,Clear,0.24,0.2879,0.75,3,10,13
2011-01-01,Spring,2011,Jan,4,0,Saturday,0,Clear,0.24,0.2879,0.75,0,1,1
2011-01-01,Spring,2011,Jan,5,0,Saturday,0,Misty,0.24,0.2576,0.75,0,1,1
2011-01-01,Spring,2011,Jan,6,0,Saturday,0,Clear,0.22,0.2727,0.8,2,0,2
2011-01-01,Spring,2011,Jan,7,0,Saturday,0,Clear,0.2,0.2576,0.86,1,2,3
2011-01-01,Spring,2011,Jan,8,0,Saturday,0,Clear,0.24,0.2879,0.75,1,7,8
2011-01-01,Spring,2011,Jan,9,0,Saturday,0,Clear,0.32,0.3485,0.76,8,6,14
2011-01-01,Spring,2011,Jan,10,0,Saturday,0,Clear,0.38,0.3939,0.76,12,24,36
2011-01-01,Spring,2011,Jan,11,0,Saturday,0,Clear,0.36,0.3333,0.81,26,30,56
2011-01-01,Spring,2011,Jan,12,0,Saturday,0,Clear,0.42,0.4242,0.77,29,55,84
2011-01-01,Spring,2011,Jan,13,0,Saturday,0,Misty,0.46,0.4545,0.72,47,47,94
2011-01-01,Spring,2011,Jan,14,0,Saturday,0,Misty,0.46,0.4545,0.72,35,71,106
2011-01-01,Spring,2011,Jan,15,0,Saturday,0,Misty,0.44,0.4394,0.77,40,70,110
2011-01-01,Spring,2011,Jan,16,0,Saturday,0,Misty,0.42,0.4242,0.82,41,52,93
2011-01-01,Spring,2011,Jan,17,0,Saturday,0,Misty,0.44,0.4394,0.82,15,52,67
2011-01-01,Spring,2011,Jan,18,0,Saturday,0,Light Snow,0.42,0.4242,0.88,9,26,35
2011-01-01,Spring,2011,Jan,19,0,Saturday,0,Light Snow,0.42,0.4242,0.88,6,31,37
2011-01-01,Spring,2011,Jan,20,0,Saturday,0,Misty,0.4,0.4091,0.87,11,25,36
2011-01-01,Spring,2011,Jan,21,0,Saturday,0,Misty,0.4,0.4091,0.87,3,31,34
2011-01-01,Spring,2011,Jan,22,0,Saturday,0,Misty,0.4,0.4091,0.94,11,17,28
2011-01-01,Spring,2011,Jan,23,0,Saturday,0,Misty,0.46,0.4545,0.88,15,24,39
2011-01-02,Spring,2011,Jan,0,0,Sunday,0,Misty,0.46,0.4545,0.88,4,13,17
2011-01-02,Spring,2011,Jan,1,0,Sunday,0,Misty,0.44,0.4394,0.94,1,16,17
2011-01-02,Spring,2011,Jan,2,0,Sunday,0,Misty,0.42,0.4242,1.0,1,8,9
2011-01-02,Spring,2011,Jan,3,0,Sunday,0,Misty,0.46,0.4545,0.94,2,4,6
2011-01-02,Spring,2011,Jan,4,0,Sunday,0,Misty,0.46,0.4545,0.94,2,1,3
2011-01-02,Spring,2011,Jan,6,0,Sunday,0,Light Snow,0.42,0.4242,0.77,0,2,2
2011-01-02,Spring,2011,Jan,7,0,Sunday,0,Misty,0.4,0.4091,0.76,0,1,1
2011-01-02,Spring,2011,Jan,8,0,Sunday,0,Light Snow,0.4,0.4091,0.71,0,8,8
2011-01-02,Spring,2011,Jan,9,0,Sunday,0,Misty,0.38,0.3939,0.76,1,19,20
2011-01-02,Spring,2011,Jan,10,0,Sunday,0,Misty,0.36,0.3485,0.81,7,46,53
2011-01-02,Spring,2011,Jan,11,0,Sunday,0,Misty,0.36,0.3333,0.71,16,54,70
2011-01-02,Spring,2011,Jan,12,0,Sunday,0,Misty,0.36,0.3333,0.66,20,73,93
2011-01-02,Spring,2011,Jan,13,0,Sunday,0,Misty,0.36,0.3485,0.66,11,64,75
2011-01-02,Spring,2011,Jan,14,0,Sunday,0,Light Snow,0.36,0.3485,0.76,4,55,59
2011-01-02,Spring,2011,Jan,15,0,Sunday,0,Light Snow,0.34,0.3333,0.81,19,55,74
2011-01-02,Spring,2011,Jan,16,0,Sunday,0,Light Snow,0.34,0.3333,0.71,9,67,76
2011-01-02,Spring,2011,Jan,17,0,Sunday,0,Clear,0.34,0.3333,0.57,7,58,65
2011-01-02,Spring,2011,Jan,18,0,Sunday,0,Misty,0.36,0.3333,0.46,10,43,53
2011-01-02,Spring,2011,Jan,19,0,Sunday,0,Clear,0.32,0.2879,0.42,1,29,30
2011-01-02,Spring,2011,Jan,20,0,Sunday,0,Clear,0.3,0.2727,0.39,5,17,22
2011-01-02,Spring,2011,Jan,21,0,Sunday,0,Clear,0.26,0.2273,0.44,11,20,31
2011-01-02,Spring,2011,Jan,22,0,Sunday,0,Clear,0.24,0.2121,0.44,0,9,9
2011-01-02,Spring,2011,Jan,23,0,Sunday,0,Clear,0.22,0.2273,0.47,0,8,8
2011-01-03,Spring,2011,Jan,0,0,Monday,1,Clear,0.22,0.197,0.44,0,5,5
2011-01-03,Spring,2011,Jan,1,0,Monday,1,Clear,0.2,0.1667,0.44,0,2,2
2011-01-03,Spring,2011,Jan,4,0,Monday,1,Clear,0.16,0.1364,0.47,0,1,1
2011-01-03,Spring,2011,Jan,5,0,Monday,1,Clear,0.16,0.1364,0.47,0,3,3
2011-01-03,Spring,2011,Jan,6,0,Monday,1,Clear,0.14,0.1061,0.5,0,30,30
2011-01-03,Spring,2011,Jan,7,0,Monday,1,Clear,0.14,0.1364,0.5,1,63,64
2011-01-03,Spring,2011,Jan,8,0,Monday,1,Clear,0.14,0.1212,0.5,1,153,154
2011-01-03,Spring,2011,Jan,9,0,Monday,1,Clear,0.16,0.1364,0.43,7,81,88
2011-01-03,Spring,2011,Jan,10,0,Monday,1,Clear,0.18,0.1667,0.43,11,33,44
2011-01-03,Spring,2011,Jan,11,0,Monday,1,Clear,0.2,0.1818,0.4,10,41,51
2011-01-03,Spring,2011,Jan,12,0,Monday,1,Clear,0.22,0.2121,0.35,13,48,61
2011-01-03,Spring,2011,Jan,13,0,Monday,1,Clear,0.24,0.2121,0.35,8,53,61
2011-01-03,Spring,2011,Jan,14,0,Monday,1,Clear,0.26,0.2424,0.3,11,66,77
2011-01-03,Spring,2011,Jan,15,0,Monday,1,Clear,0.26,0.2424,0.3,14,58,72
2011-01-03,Spring,2011,Jan,16,0,Monday,1,Clear,0.26,0.2424,0.3,9,67,76
2011-01-03,Spring,2011,Jan,17,0,Monday,1,Clear,0.24,0.2273,0.3,11,146,157
2011-01-03,Spring,2011,Jan,18,0,Monday,1,Clear,0.24,0.2576,0.32,9,148,157
2011-01-03,Spring,2011,Jan,19,0,Monday,1,Clear,0.2,0.2576,0.47,8,102,110
2011-01-03,Spring,2011,Jan,20,0,Monday,1,Clear,0.2,0.2273,0.47,3,49,52
2011-01-03,Spring,2011,Jan,21,0,Monday,1,Clear,0.18,0.197,0.64,3,49,52
2011-01-03,Spring,2011,Jan,22,0,Monday,1,Clear,0.14,0.1515,0.69,0,20,20
2011-01-03,Spring,2011,Jan,23,0,Monday,1,Clear,0.18,0.2121,0.55,1,11,12
2011-01-04,Spring,2011,Jan,0,0,Tuesday,1,Clear,0.16,0.1818,0.55,0,5,5
2011-01-04,Spring,2011,Jan,1,0,Tuesday,1,Clear,0.16,0.1818,0.59,0,2,2
2011-01-04,Spring,2011,Jan,2,0,Tuesday,1,Clear,0.14,0.1515,0.63,0,1,1
2011-01-04,Spring,2011,Jan,4,0,Tuesday,1,Clear,0.14,0.1818,0.63,0,2,2
2011-01-04,Spring,2011,Jan,5,0,Tuesday,1,Clear,0.12,0.1515,0.68,0,4,4
2011-01-04,Spring,2011,Jan,6,0,Tuesday,1,Clear,0.12,0.1515,0.74,0,36,36
2011-01-04,Spring,2011,Jan,7,0,Tuesday,1,Clear,0.12,0.1515,0.74,2,92,94
2011-01-04,Spring,2011,Jan,8,0,Tuesday,1,Clear,0.14,0.1515,0.69,2,177,179
2011-01-04,Spring,2011,Jan,9,0,Tuesday,1,Clear,0.16,0.1515,0.64,2,98,100
2011-01-04,Spring,2011,Jan,10,0,Tuesday,1,Misty,0.16,0.1364,0.69,5,37,42
2011-01-04,Spring,2011,Jan,11,0,Tuesday,1,Clear,0.22,0.2121,0.51,7,50,57
2011-01-04,Spring,2011,Jan,12,0,Tuesday,1,Clear,0.22,0.2273,0.51,12,66,78
2011-01-04,Spring,2011,Jan,13,0,Tuesday,1,Clear,0.24,0.2273,0.56,18,79,97
2011-01-04,Spring,2011,Jan,14,0,Tuesday,1,Clear,0.26,0.2576,0.52,9,54,63
2011-01-04,Spring,2011,Jan,15,0,Tuesday,1,Clear,0.28,0.2727,0.52,17,48,65
2011-01-04,Spring,2011,Jan,16,0,Tuesday,1,Clear,0.3,0.2879,0.49,15,68,83
2011-01-04,Spring,2011,Jan,17,0,Tuesday,1,Clear,0.28,0.2727,0.48,10,202,212
2011-01-04,Spring,2011,Jan,18,0,Tuesday,1,Clear,0.26,0.2576,0.48,3,179,182
2011-01-04,Spring,2011,Jan,19,0,Tuesday,1,Clear,0.24,0.2576,0.48,2,110,112
2011-01-04,Spring,2011,Jan,20,0,Tuesday,1,Clear,0.24,0.2576,0.48,1,53,54
2011-01-04,Spring,2011,Jan,21,0,Tuesday,1,Clear,0.22,0.2727,0.64,0,48,48
2011-01-04,Spring,2011,Jan,22,0,Tuesday,1,Clear,0.22,0.2576,0.64,1,34,35
2011-01-04,Spring,2011,Jan,23,0,Tuesday,1,Clear,0.2,0.2273,0.69,2,9,11
2011-01-05,Spring,2011,Jan,0,0,Wednesday,1,Clear,0.2,0.2576,0.64,0,6,6
2011-01-05,Spring,2011,Jan,1,0,Wednesday,1,Clear,0.16,0.197,0.74,0,6,6
2011-01-05,Spring,2011,Jan,2,0,Wednesday,1,Clear,0.16,0.197,0.74,0,2,2
2011-01-05,Spring,2011,Jan,4,0,Wednesday,1,Clear,0.24,0.2273,0.48,0,2,2
2011-01-05,Spring,2011,Jan,5,0,Wednesday,1,Clear,0.22,0.2273,0.47,0,3,3
2011-01-05,Spring,2011,Jan,6,0,Wednesday,1,Clear,0.2,0.197,0.47,0,33,33
2011-01-05,Spring,2011,Jan,7,0,Wednesday,1,Clear,0.18,0.1818,0.43,1,87,88
2011-01-05,Spring,2011,Jan,8,0,Wednesday,1,Clear,0.2,0.1818,0.4,3,192,195
2011-01-05,Spring,2011,Jan,9,0,Wednesday,1,Clear,0.22,0.197,0.37,6,109,115
2011-01-05,Spring,2011,Jan,10,0,Wednesday,1,Clear,0.22,0.197,0.37,4,53,57
2011-01-05,Spring,2011,Jan,11,0,Wednesday,1,Clear,0.26,0.2273,0.33,12,34,46
2011-01-05,Spring,2011,Jan,12,0,Wednesday,1,Clear,0.26,0.2273,0.33,5,74,79
2011-01-05,Spring,2011,Jan,13,0,Wednesday,1,Clear,0.28,0.2576,0.3,6,65,71
2011-01-05,Spring,2011,Jan,14,0,Wednesday,1,Clear,0.3,0.2879,0.28,10,52,62
2011-01-05,Spring,2011,Jan,15,0,Wednesday,1,Clear,0.3,0.2879,0.28,7,55,62
2011-01-05,Spring,2011,Jan,16,0,Wednesday,1,Clear,0.3,0.3182,0.28,4,85,89
2011-01-05,Spring,2011,Jan,17,0,Wednesday,1,Clear,0.24,0.2273,0.38,4,186,190
2011-01-05,Spring,2011,Jan,18,0,Wednesday,1,Clear,0.24,0.2424,0.38,3,166,169
2011-01-05,Spring,2011,Jan,19,0,Wednesday,1,Clear,0.24,0.2576,0.38,5,127,132
2011-01-05,Spring,2011,Jan,20,0,Wednesday,1,Clear,0.22,0.2273,0.47,7,82,89
2011-01-05,Spring,2011,Jan,21,0,Wednesday,1,Clear,0.2,0.197,0.51,3,40,43
2011-01-05,Spring,2011,Jan,22,0,Wednesday,1,Clear,0.18,0.197,0.55,1,41,42
2011-01-05,Spring,2011,Jan,23,0,Wednesday,1,Clear,0.2,0.2576,0.47,1,18,19
2011-01-06,Spring,2011,Jan,0,0,Thursday,1,Clear,0.18,0.2424,0.55,0,11,11
2011-01-06,Spring,2011,Jan,1,0,Thursday,1,Clear,0.16,0.2273,0.64,0,4,4
2011-01-06,Spring,2011,Jan,2,0,Thursday,1,Clear,0.16,0.2273,0.64,0,2,2
2011-01-06,Spring,2011,Jan,4,0,Thursday,1,Misty,0.16,0.197,0.64,0,1,1
2011-01-06,Spring,2011,Jan,5,0,Thursday,1,Misty,0.14,0.1818,0.69,0,4,4
2011-01-06,Spring,2011,Jan,6,0,Thursday,1,Misty,0.14,0.1667,0.63,0,36,36
2011-01-06,Spring,2011,Jan,7,0,Thursday,1,Misty,0.16,0.2273,0.59,0,95,95
2011-01-06,Spring,2011,Jan,8,0,Thursday,1,Clear,0.16,0.2273,0.59,3,216,219
2011-01-06,Spring,2011,Jan,9,0,Thursday,1,Misty,0.18,0.2424,0.51,6,116,122
2011-01-06,Spring,2011,Jan,10,0,Thursday,1,Clear,0.2,0.2576,0.47,3,42,45
2011-01-06,Spring,2011,Jan,11,0,Thursday,1,Clear,0.22,0.2576,0.44,2,57,59
2011-01-06,Spring,2011,Jan,12,0,Thursday,1,Clear,0.26,0.2879,0.35,6,78,84
2011-01-06,Spring,2011,Jan,13,0,Thursday,1,Clear,0.26,0.2727,0.35,12,55,67
